province,region,n,mae,rmse,bias,mean_actual,mean_predicted
Papua Pegunungan,Maluku-Papua,10,0.20194814884029427,0.224209703065154,-0.16372412712796325,0.41599712346230255,0.5797212505902658
Kalimantan Timur,Kalimantan,10,0.11706367247763572,0.12364754090858682,-0.11706367247763572,0.1502650809227015,0.2673287534003372
Papua Tengah,Maluku-Papua,10,0.1050517978818454,0.11783403726989138,-0.0826587657935188,0.169693216357122,0.2523519821506408
DKI Jakarta,Jawa,10,0.10232206289305752,0.10259029473342113,-0.10232206289305752,0.19985060392350867,0.3021726668165662
Maluku Utara,Maluku-Papua,10,0.10043526713948295,0.11073149361936295,-0.0895310283750419,0.13062665903410056,0.2201576874091425
Papua Barat Daya,Maluku-Papua,10,0.09450499546967434,0.10104025282840325,-0.0817406319303683,0.11077597082549047,0.19251660275585877
Papua Barat,Maluku-Papua,10,0.07575832041465462,0.08768103805808691,-0.0727653232496043,0.1499586846164644,0.2227240078660687
Papua,Maluku-Papua,10,0.06890042353464174,0.0811880300636733,-0.0595589160183936,0.1108983455342922,0.1704572615526858
Maluku,Maluku-Papua,10,0.06492488944147082,0.07197195347103864,-0.05719930879668013,0.0960112326536986,0.15321054145037874
Papua Selatan,Maluku-Papua,7,0.06021693879978619,0.06478761333327526,-0.06021693879978619,0.07294667799661961,0.13316361679640581
Kalimantan Utara,Kalimantan,10,0.059493872175972407,0.06474063114192104,-0.059493872175972407,0.08642306094045435,0.14591693311642678
Sumatera Barat,Sumatra,10,0.05729337531465577,0.06973244114710227,-0.0546193701682335,0.08442072718753865,0.13904009735577214
Kalimantan Tengah,Kalimantan,10,0.05449666263183607,0.08263379486120642,-0.031271771836841905,0.05380852279595153,0.08508029463279343
Riau,Sumatra,10,0.047249390850397484,0.04888644618919959,-0.047249390850397484,0.12351972303289716,0.17076911388329463
Kalimantan Barat,Kalimantan,10,0.03712002397691959,0.03996831245276936,-0.03712002397691959,0.05356553423017346,0.09068555820709305
