prov_norm,rows,total_cases,start,end
JAWA BARAT,257,1015260.0,2000-01-01,2024-07-31
DKI JAKARTA,258,660959.0,2000-01-01,2024-07-31
JAWA TIMUR,255,651876.0,2000-01-01,2024-07-31
JAWA TENGAH,253,514651.0,2000-01-01,2024-07-31
BALI,255,291436.0,2000-01-01,2024-07-31
SUMATERA UTARA,242,196456.0,2000-01-01,2024-07-31
KALIMANTAN TIMUR,256,191488.0,2000-01-01,2024-07-31
BANTEN,241,150972.0,2002-01-01,2024-07-31
LAMPUNG,244,134225.0,2000-01-01,2024-07-31
KALIMANTAN BARAT,255,95984.0,2000-01-01,2024-07-31
SUMATERA BARAT,242,87482.0,2000-01-01,2024-07-31
SULAWESI SELATAN,36,79734.0,2000-01-01,2021-12-31
RIAU,244,77454.0,2000-01-01,2024-07-31
SULAWESI UTARA,246,62677.0,2000-01-01,2024-07-31
ACEH,222,61057.0,2006-01-01,2024-07-31
SULAWESI SELATA,209,58261.0,2007-01-01,2024-07-31
SULAWESI TENGAH,245,55954.0,2000-01-01,2024-07-31
SUMATERA SELATAN,37,54726.0,2000-01-01,2021-12-31
NUSA TENGGARA BARAT,226,51138.0,2000-01-01,2024-07-31
KALIMANTAN TENGAH,253,45608.0,2000-01-01,2024-07-31
NUSA TENGGARA TIMUR,226,44962.0,2000-01-01,2024-07-31
SUMATERA SELATA,209,44100.0,2007-01-01,2024-07-31
D.I YOGYA,209,43990.0,2007-01-01,2024-07-31
KEPULAUAN RIAU,221,42434.0,2005-01-01,2024-07-31
SULAWESI TENGGARA,242,40585.0,2000-01-01,2024-07-31
JAMBI,249,35519.0,2000-01-01,2024-07-31
DI YOGYAKARTA,17,34868.0,2000-01-01,2021-12-31
BENGKULU,241,28875.0,2000-01-01,2024-07-31
KALIMANTAN SELATA,209,28582.0,2007-01-01,2024-07-31
KALIMANTAN SELATAN,47,26903.0,2000-01-01,2021-12-31
DAERAH ISTIMEWA YOGYAKARTA,28,25762.0,2004-01-01,2019-12-31
GORONTALO,240,16889.0,2002-01-01,2024-07-31
SULAWESI BARAT,229,14628.0,2005-01-01,2024-07-31
NUSATENGGARA BARAT,18,13452.0,2004-01-01,2019-12-31
KALIMANTAN UTARA,133,13355.0,2014-01-01,2024-07-31
PAPUA,239,13029.0,2000-01-01,2024-06-30
BABEL,209,12919.0,2007-01-01,2024-07-31
MALUKU UTARA,240,12313.0,2002-01-01,2024-07-31
KEPULAUAN-RIAU,8,11382.0,2011-01-01,2019-12-31
NUSATENGGARA TIMUR,14,9646.0,2004-01-01,2019-12-31
NANGGROE ACEH DARUSSALAM,12,8793.0,2000-01-01,2021-12-31
PAPUA BARAT,226,7814.0,2005-01-01,2024-05-31
BANGKA BELITUNG,25,4946.0,2004-01-01,2019-12-31
KEPULAUAN BANGKA BELITUNG,15,3754.0,2002-01-01,2021-12-31
MALUKU,242,3240.0,2000-01-01,2024-07-31
PAPUA TENGAH,14,1271.0,2023-01-01,2024-02-29
NANGROE ACEH DARUSSALAM,24,1016.0,2004-01-01,2006-04-30
PAPUA PEGUNUNGAN,16,249.0,2023-01-01,2024-05-31
PAPUA BARAT DAYA,12,0.0,2023-01-01,2023-12-31
PAPUA SELATAN,12,0.0,2023-01-01,2023-12-31
